Case ID,CM,DTA,KP,KPT,NB
515;-1,62;-2,01;-0,95;-1,71;-0,62
516;-0,20;0,04;-0,95;-0,49;-0,62
517;-1,62;-0,25;-0,88;-0,49;-0,62
518;-0,20;1,15;0,41;0,74;-0,62
519;-0,75;-0,20;0,41;-1,01;1,14
520;1,21;0,74;1,19;-0,49;1,14
521;1,21;0,10;1,19;-1,71;1,14
522;-0,20;-0,78;-0,95;-1,71;0,32
523;-0,20;-1,19;-0,95;0,74;-0,62
524;1,21;0,73;1,19;-1,71;1,14
525;-1,62;-0,08;0,82;-0,49;-0,15
526;-0,63;-0,78;-0,49;0,04;-0,62
527;-0,52;0,16;-0,49;1,96;0,22
528;-0,20;0,73;1,19;1,96;1,14
529;-0,20;-1,19;-0,95;0,74;-0,62
530;1,21;0,73;1,19;0,74;1,14
531;-1,07;0,33;-1,73;-1,71;-0,24
532;-0,63;-1,30;-0,95;-1,01;-0,62
533;-0,20;-1,19;-0,05;-1,71;-0,62
534;0,24;-0,78;-0,95;0,21;-0,62
535;-0,63;-1,19;-0,95;0,74;-0,62
536;-0,20;0,62;0,36;0,04;1,14
537;1,21;-0,09;1,19;-0,49;-0,15
538;0,35;1,15;0,82;-1,71;1,14
539;-1,19;1,15;1,19;-0,49;1,14
540;-0,20;-0,78;-0,58;-1,18;-0,15
541;-1,62;-0,78;-0,95;0,04;-0,19
542;0,67;1,15;-0,04;-1,18;1,14
543;0,24;0,21;0,78;-0,49;1,14
544;-1,62;-0,37;-0,58;0,04;-0,61
545;-0,20;1,15;1,19;0,04;1,14
546;-1,07;1,15;0,82;-1,71;1,14
547;-0,20;0,22;0,41;-0,49;1,14
548;0,67;1,15;0,36;-1,71;-0,03
549;-0,20;-0,78;-0,95;-0,49;-0,62
550;-0,20;0,33;-0,04;0,04;0,70
551;-0,20;-0,78;-0,49;-0,49;-0,62
552;0,12;-1,07;-0,05;-1,71;1,14
553;1,21;1,15;1,19;1,96;0,32
554;-1,07;0,74;-0,49;-0,49;-0,15
555;-0,20;-0,78;-2,63;-1,71;-2,39
556;1,21;-0,20;-0,51;-1,71;-0,15
557;-0,20;-1,19;-0,95;0,04;-0,62
558;-1,07;-0,78;-1,32;-0,49;-0,15
559;-1,18;-1,72;-0,95;0,74;-0,62
560;1,21;0,22;0,82;-0,49;-0,24
561;0,67;-0,25;1,19;1,96;1,14
562;0,67;0,04;1,19;-1,18;1,14
563;-1,07;0,57;-0,95;0,74;-0,15
564;-1,62;-0,78;-0,05;-0,49;-0,62
